"","A","S","E","O","R","T"
"2020","young","M","uni","emp","big","train"
"2021","old","M","high","self","big","car"
"2022","old","F","high","emp","big","car"
"2023","old","M","high","emp","big","other"
"2024","adult","M","uni","emp","big","car"
"2025","young","M","high","emp","big","car"
"2026","adult","F","high","emp","big","car"
"2027","young","F","uni","emp","big","train"
"2028","old","M","high","emp","big","car"
"2029","adult","M","high","emp","big","car"
"2030","old","F","high","emp","big","car"
"2031","young","F","high","emp","big","car"
"2032","adult","F","high","emp","big","train"
"2033","adult","F","uni","emp","big","train"
"2034","adult","M","uni","emp","big","car"
"2035","adult","M","uni","emp","big","car"
"2036","adult","M","high","emp","big","train"
"2037","young","M","high","emp","small","train"
"2038","adult","M","uni","emp","big","car"
"2039","adult","F","high","emp","big","car"
"2040","old","M","high","emp","small","other"
"2041","old","M","high","emp","big","car"
"2042","adult","F","uni","emp","small","other"
"2043","adult","M","high","emp","big","car"
"2044","adult","M","high","emp","small","car"
"2045","adult","M","high","emp","big","train"
"2046","old","F","high","emp","big","other"
"2047","adult","M","high","emp","small","train"
"2048","old","M","high","emp","big","other"
"2049","adult","F","high","emp","big","other"
"2050","old","F","high","emp","big","car"
"2051","young","M","high","emp","small","car"
"2052","young","F","high","emp","big","car"
"2053","young","M","high","emp","big","car"
"2054","young","M","high","emp","big","car"
"2055","adult","M","high","emp","big","car"
"2056","young","M","high","emp","small","car"
"2057","adult","F","uni","emp","big","car"
"2058","adult","F","high","emp","big","car"
"2059","old","F","high","emp","big","train"
"2060","adult","F","uni","self","big","train"
"2061","young","M","high","emp","big","car"
"2062","adult","F","high","emp","big","car"
"2063","young","M","uni","emp","big","train"
"2064","adult","F","high","emp","big","car"
"2065","old","M","high","emp","small","car"
"2066","adult","M","high","emp","small","train"
"2067","old","M","high","emp","big","car"
"2068","adult","M","high","self","big","car"
"2069","adult","M","uni","emp","small","car"
"2070","young","M","high","emp","big","train"
"2071","adult","F","high","emp","big","train"
"2072","old","M","high","emp","big","car"
"2073","adult","F","high","emp","big","other"
"2074","adult","F","high","emp","big","car"
"2075","young","M","uni","emp","big","car"
"2076","adult","M","uni","self","big","train"
"2077","adult","M","uni","emp","big","other"
"2078","young","F","high","emp","small","train"
"2079","adult","M","high","emp","big","car"
"2080","young","M","high","emp","big","train"
"2081","young","F","high","emp","big","train"
"2082","old","M","high","emp","big","other"
"2083","adult","M","high","emp","big","car"
"2084","adult","F","high","emp","small","train"
"2085","adult","M","high","emp","big","car"
"2086","young","F","high","emp","small","train"
"2087","adult","M","high","emp","small","car"
"2088","young","M","high","emp","small","car"
"2089","young","M","high","emp","big","train"
"2090","adult","F","high","emp","big","other"
"2091","old","M","high","emp","big","car"
"2092","adult","F","high","emp","big","car"
"2093","adult","F","uni","emp","big","other"
"2094","young","F","uni","emp","small","car"
"2095","adult","F","high","emp","big","train"
"2096","old","M","high","self","big","car"
"2097","adult","M","high","emp","small","car"
"2098","adult","F","high","emp","big","car"
"2099","adult","M","uni","emp","big","car"
"2100","adult","M","high","emp","big","car"
"2101","adult","M","high","emp","small","car"
"2102","adult","M","uni","emp","big","other"
"2103","adult","M","high","emp","big","car"
"2104","adult","M","high","emp","big","car"
"2105","old","M","high","emp","big","car"
"2106","adult","F","high","emp","small","train"
"2107","old","M","high","emp","big","car"
"2108","adult","M","high","emp","big","car"
"2109","adult","F","high","emp","big","car"
"2110","adult","F","high","emp","big","other"
"2111","young","M","uni","emp","big","train"
"2112","young","M","uni","emp","big","car"
"2113","adult","M","uni","emp","big","train"
"2114","young","M","high","emp","big","car"
"2115","old","M","high","emp","big","car"
"2116","adult","F","uni","emp","small","train"
"2117","adult","F","high","emp","big","car"
"2118","adult","F","uni","emp","big","train"
"2119","old","M","high","emp","small","car"
"2120","young","M","uni","emp","big","car"
"2121","adult","M","high","emp","small","car"
"2122","young","F","high","emp","big","train"
"2123","adult","F","high","emp","small","train"
"2124","old","F","high","emp","big","train"
"2125","adult","F","uni","emp","big","car"
"2126","adult","M","uni","self","big","car"
"2127","young","M","high","emp","big","other"
"2128","adult","F","high","emp","small","car"
"2129","old","M","high","emp","big","car"
"2130","old","F","high","emp","big","car"
"2131","young","M","high","emp","big","car"
"2132","adult","F","uni","emp","big","train"
"2133","young","M","high","emp","big","other"
"2134","young","M","uni","self","big","car"
"2135","adult","M","high","emp","big","car"
"2136","young","M","high","emp","small","car"
"2137","young","M","high","emp","small","train"
"2138","adult","F","high","emp","small","car"
"2139","young","M","uni","self","big","car"
"2140","old","M","high","emp","big","car"
"2141","young","F","uni","emp","small","train"
"2142","young","M","high","emp","big","train"
"2143","old","F","high","emp","big","car"
"2144","adult","M","uni","emp","small","train"
"2145","adult","F","high","emp","big","other"
"2146","young","F","uni","emp","big","train"
"2147","young","F","uni","emp","big","car"
"2148","adult","F","high","emp","big","car"
"2149","adult","F","uni","emp","big","car"
"2150","young","M","high","emp","small","car"
"2151","old","M","high","emp","big","car"
"2152","young","F","high","emp","big","train"
"2153","adult","F","high","emp","small","train"
"2154","old","M","high","emp","small","car"
"2155","young","M","high","emp","big","car"
"2156","young","M","high","emp","big","car"
"2157","adult","M","high","emp","big","car"
"2158","adult","F","high","emp","small","car"
"2159","adult","M","high","emp","big","train"
"2160","adult","M","high","emp","big","car"
"2161","young","M","high","emp","big","car"
"2162","old","M","high","emp","big","car"
"2163","old","M","high","emp","small","train"
"2164","young","F","high","emp","big","car"
"2165","young","M","high","emp","big","other"
"2166","young","M","high","emp","big","other"
"2167","young","F","high","emp","big","other"
"2168","young","M","high","emp","small","car"
"2169","young","M","high","emp","big","car"
"2170","adult","F","uni","emp","big","car"
"2171","adult","F","high","emp","big","train"
"2172","adult","M","high","emp","big","car"
"2173","adult","M","uni","emp","big","train"
"2174","young","M","high","emp","small","car"
"2175","young","M","high","emp","big","car"
"2176","young","F","uni","emp","big","car"
"2177","adult","F","uni","emp","small","train"
"2178","adult","F","uni","self","big","car"
"2179","adult","M","uni","emp","big","car"
"2180","young","M","high","emp","big","car"
"2181","adult","M","high","self","big","car"
"2182","young","F","high","emp","small","train"
"2183","adult","M","high","emp","big","other"
"2184","young","F","high","emp","big","other"
"2185","old","F","high","emp","small","train"
"2186","old","F","high","emp","small","train"
"2187","young","M","high","emp","big","other"
"2188","adult","F","high","emp","big","other"
"2189","adult","M","high","emp","big","car"
"2190","adult","M","uni","emp","big","car"
"2191","young","F","high","self","big","train"
"2192","adult","M","high","emp","big","train"
"2193","adult","M","high","self","big","train"
"2194","old","M","high","emp","big","train"
"2195","young","M","high","emp","big","car"
"2196","adult","F","high","emp","big","car"
"2197","adult","M","high","emp","small","car"
"2198","adult","F","high","emp","big","other"
"2199","adult","M","high","emp","small","other"
"2200","adult","F","uni","self","big","car"
"2201","young","M","high","emp","big","car"
"2202","adult","F","high","emp","big","car"
"2203","old","F","high","emp","small","car"
"2204","adult","M","high","emp","big","train"
"2205","old","M","high","emp","big","car"
"2206","adult","M","uni","emp","big","other"
"2207","adult","F","uni","self","big","train"
"2208","adult","M","high","emp","big","car"
"2209","adult","F","uni","emp","big","car"
"2210","young","M","high","emp","big","other"
"2211","adult","F","high","emp","big","other"
"2212","adult","M","high","emp","big","other"
"2213","adult","F","high","emp","big","train"
"2214","old","M","high","emp","big","car"
"2215","old","F","high","emp","small","car"
"2216","adult","F","uni","emp","big","car"
"2217","young","M","high","emp","small","train"
"2218","young","M","high","emp","big","other"
"2219","adult","M","high","emp","small","train"
"2220","adult","M","high","emp","big","car"
"2221","adult","F","uni","emp","big","car"
"2222","young","F","high","emp","small","car"
"2223","adult","F","uni","emp","small","train"
"2224","young","F","high","emp","small","other"
"2225","young","F","uni","emp","big","car"
"2226","adult","F","high","emp","small","train"
"2227","young","F","high","emp","big","train"
"2228","adult","M","uni","emp","big","other"
"2229","young","M","uni","emp","small","car"
"2230","young","M","uni","emp","big","other"
"2231","adult","F","high","emp","small","train"
"2232","old","M","high","emp","big","other"
"2233","young","F","high","self","big","car"
"2234","adult","M","uni","emp","big","train"
"2235","young","M","high","emp","small","other"
"2236","adult","F","high","emp","big","car"
"2237","adult","F","uni","emp","big","other"
"2238","young","M","uni","emp","big","car"
"2239","adult","M","high","emp","big","train"
"2240","old","F","high","emp","big","train"
"2241","adult","M","high","emp","small","car"
"2242","adult","F","high","emp","big","car"
"2243","young","M","high","emp","big","train"
"2244","adult","F","uni","emp","big","car"
"2245","adult","M","uni","emp","big","train"
"2246","adult","M","high","emp","big","train"
"2247","adult","M","high","emp","big","car"
"2248","young","M","high","emp","big","car"
"2249","adult","F","high","emp","big","car"
"2250","old","M","high","emp","small","car"
"2251","adult","F","uni","emp","big","car"
"2252","adult","F","high","emp","small","train"
"2253","old","M","uni","emp","big","other"
